MPA,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
245mm,step_minus,,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
,fix p1 0,angle,0,0,-0.0077,-0.1135,-0.2086,-0.2669,-0.3175,-0.3636,-0.3896,-0.4126,-0.431,-0.4464,-0.4617,-0.4755,-0.4894
,fix p1 0.05,,0,0,0,-0.0874,-0.1708,-0.2187,-0.2669,-0.3068,-0.3344,-0.3574,-0.3758,-0.3906,-0.4065,-0.4185,-0.4293
,fix p1 0.1,,0,0,0,-0.0614,-0.1355,-0.1933,-0.2362,-0.2761,-0.3053,-0.3405,-0.3605,-0.37888,-0.3925,-0.4034,-0.4126
,fix p1 0.15,,0.1228,0.1228,0.1058,0.0368,-0.0445,-0.1089,-0.1657,-0.2132,-0.2524,-0.2838,-0.3114,-0.3359,-0.3547,-0.3728,-0.3881
,fix p1 0.2,,0.2516,0.2516,0.227,0.1595,0.0782,0.0061,-0.0614,-0.1197,-0.1643,-0.204,-0.2347,-0.2633,-0.2868,-0.3068,-0.3237
,fix p1 0.25,,0.3216,0.3216,0.2945,0.2286,0.1519,0.0813,0.0136,-0.0506,-0.1025,-0.1483,-0.1841,-0.2148,-0.2408,-0.2638,-0.2881
,fix p1 0.3,,0.3867,0.3867,0.3583,0.2972,0.2224,0.151,0.0836,0.0215,-0.0337,-0.0813,-0.1258,-0.1626,-0.1933,-0.2185,-0.2424
,fix p1 0.35,,0.4341,0.4341,0.408,0.3498,0.2862,0.2148,0.1457,0.0859,0.0303,-0.0215,-0.066,-0.1104,-0.1411,-0.1703,-0.1963
,fix p1 0.4,,0.4725,0.4725,0.4556,0.405,0.3414,0.2731,0.2116,0.1461,0.0936,0.0399,-0.0031,-0.0476,-0.0828,-0.115,-0.1396
,fix p1 0.45,,0.5001,0.5001,0.4846,0.4387,0.3774,0.3157,0.2516,0.1917,0.1365,0.0894,0.04,-0.0015,-0.0373,-0.0724,-0.089
,fix p1 0.5,,0.52,0.52,0.5062,0.4663,0.4111,0.3513,0.2911,0.2363,0.1825,0.1309,0.0869,0.043,0.0062,-0.0305,-0.0414
,fix p1 0.55,,0.5384,0.5384,0.5277,0.4893,0.4403,0.3852,0.3255,0.27,0.2178,0.1688,0.1258,0.0813,0.0445,0.0107,0.0046
