t[s],p1_cmd[MPa],p2_cmd[MPa],p1_meas[MPa],p2_meas[MPa],p_sum_cmd[MPa],p_diff_cmd[MPa],p_sum_meas[MPa],p_diff_meas[MPa],dp_sum_dt[MPa/s],dp_diff_dt[MPa/s],theta[rad],theta[deg],z[m],dz[m],dp1_cmd_dt[MPa/s],dp2_cmd_dt[MPa/s]
2.93885994,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.13046579,-7.47513886,0.8836267,0.00175458,0.0,0.0
2.94377303,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.13046579,-7.47513886,0.88364625,0.00177413,0.0,0.0
2.94884467,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.13046579,-7.47513886,0.88364625,0.00177413,0.0,0.0
2.95403814,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.13014351,-7.45667359,0.88364625,0.00177413,0.0,0.0
2.95887661,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.13014351,-7.45667359,0.88362277,0.00175065,0.0,0.0
2.96372366,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.13014351,-7.45667359,0.88362277,0.00175065,0.0,0.0
2.96890116,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.13014351,-7.45667359,0.88362539,0.00175327,0.0,0.0
2.97369504,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.12988568,-7.44190137,0.88360345,0.00173134,0.0,0.0
2.9785521,0.2,0.2,0.19178885,0.18848974,0.40000001,0.0,0.38027859,0.00329912,0.0,0.0,-0.12988568,-7.44190137,0.88360345,0.00173134,0.0,0.0
2.98369765,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12988568,-7.44190137,0.88360345,0.00173134,0.0,0.0
2.98898792,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12988568,-7.44190137,0.883605,0.00173289,0.0,0.0
2.99414921,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12967942,-7.4300836,0.883605,0.00173289,0.0,0.0
2.99883485,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12967942,-7.4300836,0.88361949,0.00174737,0.0,0.0
3.00382352,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12967942,-7.4300836,0.88361949,0.00174737,0.0,0.0
3.0087893,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12967942,-7.4300836,0.88365614,0.00178403,0.0,0.0
3.01383781,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12951442,-7.42062938,0.88365614,0.00178403,0.0,0.0
3.0188508,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12951442,-7.42062938,0.88364828,0.00177616,0.0,0.0
3.02379155,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12951442,-7.42062938,0.88364828,0.00177616,0.0,0.0
3.02885008,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12951442,-7.42062938,0.88365364,0.00178152,0.0,0.0
3.03387618,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12938241,-7.413066,0.88365364,0.00178152,0.0,0.0
3.03887272,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12938241,-7.413066,0.88363594,0.00176382,0.0,0.0
3.04385424,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12938241,-7.413066,0.88363594,0.00176382,0.0,0.0
3.0488615,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12938241,-7.413066,0.88364553,0.00177342,0.0,0.0
3.05427289,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1292768,-7.4070153,0.88364553,0.00177342,0.0,0.0
3.05896854,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1292768,-7.4070153,0.88364577,0.00177366,0.0,0.0
3.06406975,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1292768,-7.4070153,0.88364577,0.00177366,0.0,0.0
3.06893063,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1292768,-7.4070153,0.88364017,0.00176805,0.0,0.0
3.07388425,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12919232,-7.40217474,0.88364017,0.00176805,0.0,0.0
3.07905149,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12919232,-7.40217474,0.88363701,0.00176489,0.0,0.0
3.08378649,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12919232,-7.40217474,0.88363701,0.00176489,0.0,0.0
3.08871722,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12919232,-7.40217474,0.88365364,0.00178152,0.0,0.0
3.09383392,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12912473,-7.39830229,0.88365364,0.00178152,0.0,0.0
3.09886909,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12912473,-7.39830229,0.88366568,0.00179356,0.0,0.0
3.10381889,0.2,0.2,0.19288856,0.18958944,0.40000001,0.0,0.382478,0.00329912,0.0,0.0,-0.12912473,-7.39830229,0.88366568,0.00179356,0.0,0.0
3.10891438,0.2,0.2,0.19288856,0.18958944,0.40000001,0.0,0.382478,0.00329912,0.0,0.0,-0.12912473,-7.39830229,0.88365638,0.00178427,0.0,0.0
3.11386466,0.2,0.2,0.19288856,0.18958944,0.40000001,0.0,0.382478,0.00329912,0.0,0.0,-0.12912473,-7.39830229,0.88365638,0.00178427,0.0,0.0
3.11898851,0.2,0.2,0.19288856,0.18958944,0.40000001,0.0,0.382478,0.00329912,0.0,0.0,-0.12912473,-7.39830229,0.88362771,0.0017556,0.0,0.0
3.12384105,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12912473,-7.39830229,0.88362771,0.0017556,0.0,0.0
3.12881851,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12912473,-7.39830229,0.88361186,0.00173974,0.0,0.0
3.13381958,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12907066,-7.39520433,0.88361186,0.00173974,0.0,0.0
3.13878989,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12907066,-7.39520433,0.8836143,0.00174218,0.0,0.0
3.14409947,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12907066,-7.39520433,0.88364249,0.00177038,0.0,0.0
3.14906216,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12907066,-7.39520433,0.88364249,0.00177038,0.0,0.0
3.15380692,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12902741,-7.39272597,0.88364249,0.00177038,0.0,0.0
3.15905547,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12902741,-7.39272597,0.88365448,0.00178236,0.0,0.0
3.16378999,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12902741,-7.39272597,0.88365448,0.00178236,0.0,0.0
3.16876292,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12902741,-7.39272597,0.88366157,0.00178945,0.0,0.0
3.17398739,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1289928,-7.39074327,0.88366157,0.00178945,0.0,0.0
3.17888427,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1289928,-7.39074327,0.88366574,0.00179362,0.0,0.0
3.18418479,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1289928,-7.39074327,0.88364506,0.00177294,0.0,0.0
3.18897653,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.1289928,-7.39074327,0.88364506,0.00177294,0.0,0.0
3.19388723,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12896512,-7.38915712,0.88365728,0.00178516,0.0,0.0
3.1988256,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12896512,-7.38915712,0.88365728,0.00178516,0.0,0.0
3.20419765,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12896512,-7.38915712,0.88364416,0.00177205,0.0,0.0
3.20958781,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12896512,-7.38915712,0.88364416,0.00177205,0.0,0.0
3.2141645,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12894297,-7.3878882,0.88363963,0.00176752,0.0,0.0
3.2191174,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12894297,-7.3878882,0.88363963,0.00176752,0.0,0.0
3.22388649,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,0.0,0.0,-0.12894297,-7.3878882,0.88363963,0.00176752,0.0,0.0
3.22917366,0.2,0.2,0.19178885,0.18958944,0.40000001,0.0,0.38137829,0.00219941,5.00226899,-7.50340646,-0.12894297,-7.3878882,0.88364697,0.00177485,-1.2505677577585996,6.252837788338787
3.23387456,0.1875,0.26249999,0.19178885,0.18958944,0.44999999,-0.075,0.38137829,0.00219941,10.00454096,-7.50791536,-0.12892526,-7.38687306,0.88364697,0.00177485,1.2483127339778077,8.756227327182566
3.2386353,0.21247746,0.28752252,0.19178885,0.18958944,0.5,-0.07504507,0.38137829,0.00219941,10.00454394,-7.50791462,-0.12892526,-7.38687306,0.88366193,0.00178981,1.2483137344320134,8.756228327636773
3.24376392,0.19997747,0.35002252,0.19178885,0.18958944,0.55000001,-0.15004507,0.38137829,0.00219941,10.00454394,-13.64710771,-0.12892526,-7.38687306,0.88366193,0.00178981,-1.821281861960345,11.825825924937545
3.24879479,0.19427291,0.40572709,0.19178885,0.18958944,0.60000002,-0.2114542,0.38137829,0.00219941,10.00453797,-6.87770877,-0.12892526,-7.38687306,0.88367015,0.00179803,1.5634157907647266,8.441126271304062
3.25423026,0.21560453,0.43439546,0.19178885,0.18958944,0.64999998,-0.21879093,0.38137829,0.00219941,10.00453797,6.76939969,-0.12891108,-7.38606094,0.88367015,0.00179803,8.38697068466788,1.6175723778551159
3.25914264,0.27810454,0.42189547,0.19178885,0.18958944,0.69999999,-0.14379093,0.38137829,0.00219941,10.00454394,15.00681292,-0.12891108,-7.38606094,0.88366729,0.00179517,12.505678578040193,-2.5011355155171993
3.26384068,0.34060454,0.40939546,0.19178885,0.18958944,0.75,-0.06879093,0.38137829,0.00219941,10.00454394,4.26927968,-0.12891108,-7.38606094,0.88366729,0.00179517,7.136909156737617,2.867629903968552
3.26876354,0.34944123,0.45055875,0.19178885,0.18958944,0.80000001,-0.10111751,0.38137829,0.00219941,10.00454394,-10.7375325,-0.12891108,-7.38606094,0.88364828,0.00177616,-0.3664963893597695,10.371040452336972
3.27379727,0.33694124,0.51305878,0.19178885,0.18958944,0.85000002,-0.17611751,0.38137829,0.00219941,0.0,0.0,-0.12889974,-7.38541126,0.88362628,0.00175416,0.0,0.0
3.2789216,0.34944123,0.45055875,0.19178885,0.18958944,0.80000001,-0.10111751,0.38137829,0.00219941,0.0,12.65414388,-0.12889974,-7.38541126,0.88362628,0.00175416,6.327071490439339,-6.327074491801962
3.28418016,0.40018323,0.44981676,0.19178885,0.18958944,0.85000002,-0.04963351,0.38137829,0.00219941,4.59217274,-2.35266792,-0.12889974,-7.38541126,0.88362622,0.00175411,1.1197523675718144,3.472420478887909
3.28876305,0.36063367,0.48526719,0.19178885,0.18958944,0.84590089,-0.12463351,0.38137829,0.00219941,4.59216678,-15.00681181,-0.12889974,-7.38541126,0.88362622,0.00175411,-5.207319122867525,9.799494970689866
3.29378486,0.34813368,0.54776722,0.19178885,0.18958944,0.89590085,-0.19963351,0.38137829,0.00219941,10.00453797,-9.19926161,-0.12889067,-7.3848915,0.88362622,0.00175411,0.4026427998300194,9.601902263601389
3.29866362,0.36465827,0.58124262,0.19178885,0.18958944,0.94590086,-0.21658437,0.38137829,0.00219941,10.00454394,-9.19926236,-0.12889067,-7.3848915,0.88364738,0.00177526,0.40263979846740233,9.601899262238772
3.30380845,0.35215825,0.64374262,0.19178885,0.21048385,0.99590087,-0.29158437,0.4022727,-0.018695,8.68587802,-15.00681143,-0.12889067,-7.3848915,0.88364738,0.00177526,-3.160472854667369,11.846341238890016
3.30898595,0.33306789,0.69965225,0.19178885,0.21048385,1.03272021,-0.36658436,0.4022727,-0.018695,2.46782273,-8.7887636,-0.12889067,-7.3848915,0.88363451,0.00176239,-3.1604688528505407,5.628292244663665
