t[s],p1_cmd[MPa],p2_cmd[MPa],p1_meas[MPa],p2_meas[MPa],p_sum_cmd[MPa],p_diff_cmd[MPa],p_sum_meas[MPa],p_diff_meas[MPa],dp_sum_dt[MPa/s],dp_diff_dt[MPa/s],theta[rad],theta[deg],z[m],dz[m],dp1_cmd_dt[MPa/s],dp2_cmd_dt[MPa/s]
0.00134182,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.10738446,6.15267643,0.88151497,0.0,0.0,0.0
0.00667286,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.10738446,6.15267643,0.88150305,-1.192e-05,0.0,0.0
0.0115912,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.10738446,6.15267643,0.88150305,-1.192e-05,0.0,0.0
0.01681209,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.10738446,6.15267643,0.88152319,8.23e-06,0.0,0.0
0.02187276,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.10738446,6.15267643,0.88152319,8.23e-06,0.0,0.0
0.02680659,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.1073833,6.15260989,0.88149548,-1.949e-05,0.0,0.0
0.03173113,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.1073833,6.15260989,0.88149548,-1.949e-05,0.0,0.0
0.03673244,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.1073833,6.15260989,0.8814857,-2.927e-05,0.0,0.0
0.04179549,0.34,0.34,0.33255133,0.32925221,0.68000001,0.0,0.66180354,0.00329912,0.0,0.0,0.1073833,6.15260989,0.8814857,-2.927e-05,0.0,0.0
0.04676032,0.34,0.34,0.33145162,0.32925221,0.68000001,0.0,0.66070384,0.00219941,0.0,0.0,0.10738237,6.15255666,0.88147986,-3.511e-05,0.0,0.0
