t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg]
0.000000000000000000e+00,2.500000000000000000e-01,-2.272727340459823608e-02,1.136363632977008820e-01,1.363636367022991180e-01,1.136363636363634660e-01,1.363636363636363535e-01,5.140636779236930076e-01,2.945367914600008064e+01
2.505779266357421875e-02,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,5.140276551272924266e-01,2.945161519180006593e+01
5.008840560913085938e-02,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,5.136920407325947791e-01,2.943238590344005345e+01
7.522678375244140625e-02,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,5.118895684289510584e-01,2.932911184775204561e+01
1.000242233276367188e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,5.070728328526876716e-01,2.905313322820163791e+01
1.251432895660400391e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.976971135552886727e-01,2.851594408256131530e+01
1.502091884613037109e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.849810034385582669e-01,2.778736464104905579e+01
1.752293109893798828e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.698993768239398960e-01,2.692325108783924748e+01
2.001123428344726562e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.312466866006319233e-01,2.470861507121712108e+01
2.250950336456298828e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,4.075837654262397525e-01,2.335282955697369900e+01
2.504105567932128906e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,3.822107091776063004e-01,2.189906052057895991e+01
2.751004695892333984e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,3.557763410271569948e-01,2.038448279146317077e+01
2.999823093414306641e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,3.287997195128320449e-01,1.883883623317053591e+01
3.250265121459960938e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,3.013892953074066572e-01,1.726833461153642801e+01
3.498206138610839844e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,2.736318289491009303e-01,1.567794893922914312e+01
3.749809265136718750e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,2.455967288684909045e-01,1.407165602638331592e+01
3.999955654144287109e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.912362799668954338e-01,1.095703173188532276e+01
4.250485897064208984e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.661812587493328719e-01,9.521484760508258205e+00
4.499847888946533203e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.427624840419343955e-01,8.179687808406606919e+00
4.750061035156250000e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,1.206527065426672152e-01,6.912890871725285713e+00
4.999992847442626953e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,8.028569376307831407e-02,4.600031407904183745e+00
5.249576568603515625e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,8.028569376307831407e-02,4.600031407904183745e+00
5.500085353851318359e-01,1.818181872367858887e-01,-9.090909361839294434e-02,4.545454680919647217e-02,1.363636404275894165e-01,4.545454545454545581e-02,1.363636363636363535e-01,6.330816653773126135e-02,3.627290751323346552e+00
