t[s],p1_cmd[MPa],p2_cmd[MPa],p1_meas[MPa],p2_meas[MPa],p_sum_cmd[MPa],p_diff_cmd[MPa],p_sum_meas[MPa],p_diff_meas[MPa],dp_sum_dt[MPa/s],dp_diff_dt[MPa/s],theta[rad],theta[deg],z[m],dz[m],dp1_cmd_dt[MPa/s],dp2_cmd_dt[MPa/s]
2.94013858,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09735651,-5.57811719,0.88217926,0.00183159,0.0,0.0
2.94513559,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09735651,-5.57811719,0.88217926,0.00183159,0.0,0.0
2.95023823,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09721337,-5.56991562,0.88216072,0.00181305,0.0,0.0
2.95505691,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09721337,-5.56991562,0.88216072,0.00181305,0.0,0.0
2.96024251,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09721337,-5.56991562,0.88216299,0.00181532,0.0,0.0
2.96533704,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09721337,-5.56991562,0.88216299,0.00181532,0.0,0.0
2.97031403,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09709885,-5.56335437,0.88222939,0.00188172,0.0,0.0
2.97524142,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09709885,-5.56335437,0.88222939,0.00188172,0.0,0.0
2.98089457,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09709885,-5.56335437,0.8822298,0.00188214,0.0,0.0
2.98526406,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09709885,-5.56335437,0.8822298,0.00188214,0.0,0.0
2.99026155,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09700724,-5.55810537,0.88220847,0.0018608,0.0,0.0
2.99544334,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09700724,-5.55810537,0.88220847,0.0018608,0.0,0.0
3.00064445,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09700724,-5.55810537,0.88217431,0.00182664,0.0,0.0
3.00542283,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09700724,-5.55810537,0.88217431,0.00182664,0.0,0.0
3.01025176,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09693395,-5.55390617,0.88217849,0.00183082,0.0,0.0
3.01543808,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09693395,-5.55390617,0.88217849,0.00183082,0.0,0.0
3.02070212,0.23999999,0.23999999,0.2335777,0.23247799,0.47999999,0.0,0.46605569,0.00109971,0.0,0.0,-0.09693395,-5.55390617,0.88218534,0.00183767,0.0,0.0
3.02545428,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09693395,-5.55390617,0.88218534,0.00183767,0.0,0.0
3.03015041,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.88219434,0.00184667,0.0,0.0
3.0352037,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.88219434,0.00184667,0.0,0.0
3.0403955,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.88220811,0.00186044,0.0,0.0
3.04559422,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.88220811,0.00186044,0.0,0.0
3.0508585,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.88220608,0.00185841,0.0,0.0
3.05551052,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.88220608,0.00185841,0.0,0.0
3.06082678,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.8822118,0.00186414,0.0,0.0
3.06565666,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09687532,-5.55054681,0.8822118,0.00186414,0.0,0.0
3.07059956,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09682841,-5.54785933,0.88220882,0.00186116,0.0,0.0
3.07541895,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09682841,-5.54785933,0.88220882,0.00186116,0.0,0.0
3.08045793,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09682841,-5.54785933,0.88219231,0.00184464,0.0,0.0
3.08526826,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09682841,-5.54785933,0.88219231,0.00184464,0.0,0.0
3.09036875,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09679089,-5.54570934,0.88217199,0.00182432,0.0,0.0
3.09521866,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09679089,-5.54570934,0.88217199,0.00182432,0.0,0.0
3.10033631,0.23999999,0.23999999,0.2335777,0.23137829,0.47999999,0.0,0.46495599,0.00219941,0.0,0.0,-0.09679089,-5.54570934,0.88218302,0.00183535,0.0,0.0
3.10530162,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09679089,-5.54570934,0.88218302,0.00183535,0.0,0.0
3.11023235,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09676087,-5.54398934,0.88221413,0.00186646,0.0,0.0
3.11559677,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09676087,-5.54398934,0.88221413,0.00186646,0.0,0.0
3.12077475,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09676087,-5.54398934,0.8822279,0.00188023,0.0,0.0
3.12573838,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09676087,-5.54398934,0.8822279,0.00188023,0.0,0.0
3.13035965,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09673685,-5.54261335,0.88220805,0.00186038,0.0,0.0
3.1353538,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09673685,-5.54261335,0.88220805,0.00186038,0.0,0.0
3.14100647,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09673685,-5.54261335,0.88222152,0.00187385,0.0,0.0
3.14561677,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09673685,-5.54261335,0.88222152,0.00187385,0.0,0.0
3.15035868,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09671764,-5.54151256,0.88221633,0.00186867,0.0,0.0
3.15548182,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09671764,-5.54151256,0.88221633,0.00186867,0.0,0.0
3.16087151,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09671764,-5.54151256,0.88220441,0.00185674,0.0,0.0
3.16545796,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09671764,-5.54151256,0.88220441,0.00185674,0.0,0.0
3.17046881,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09670227,-5.54063192,0.88220441,0.00185674,0.0,0.0
3.17544675,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09670227,-5.54063192,0.88220942,0.00186175,0.0,0.0
3.1803534,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09670227,-5.54063192,0.88220942,0.00186175,0.0,0.0
3.18534088,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09670227,-5.54063192,0.88221294,0.00186527,0.0,0.0
3.19038343,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668997,-5.53992741,0.8822152,0.00186753,0.0,0.0
3.19525743,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668997,-5.53992741,0.8822152,0.00186753,0.0,0.0
3.20061612,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668997,-5.53992741,0.8822152,0.00186753,0.0,0.0
3.20553064,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668997,-5.53992741,0.88222432,0.00187665,0.0,0.0
3.21032834,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668014,-5.5393638,0.882222,0.00187433,0.0,0.0
3.21527147,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668014,-5.5393638,0.882222,0.00187433,0.0,0.0
3.22050333,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668014,-5.5393638,0.88223445,0.00188679,0.0,0.0
3.22542548,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09668014,-5.5393638,0.88223445,0.00188679,0.0,0.0
3.23033547,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09667227,-5.53891292,0.88223445,0.00188679,0.0,0.0
3.23520184,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09667227,-5.53891292,0.88222504,0.00187737,0.0,0.0
3.24045992,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09667227,-5.53891292,0.88222504,0.00187737,0.0,0.0
3.24531984,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09667227,-5.53891292,0.88221788,0.00187021,0.0,0.0
3.25046706,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88220805,0.00186038,0.0,0.0
3.25550222,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88220805,0.00186038,0.0,0.0
3.26062059,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88221502,0.00186735,0.0,0.0
3.26532865,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88221502,0.00186735,0.0,0.0
3.27008247,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88221502,0.00186735,0.0,0.0
3.27554941,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88222551,0.00187784,0.0,0.0
3.28061986,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88222134,0.00187367,0.0,0.0
3.28532434,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666597,-5.53855221,0.88222134,0.00187367,0.0,0.0
3.2905221,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666094,-5.53826364,0.88221049,0.00186282,0.0,0.0
3.29569864,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666094,-5.53826364,0.88221049,0.00186282,0.0,0.0
3.30044365,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666094,-5.53826364,0.88221574,0.00186807,0.0,0.0
3.30573893,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09666094,-5.53826364,0.88221574,0.00186807,0.0,0.0
3.31029129,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665691,-5.53803279,0.88221252,0.00186485,0.0,0.0
3.31536794,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665691,-5.53803279,0.88221252,0.00186485,0.0,0.0
3.32075214,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665691,-5.53803279,0.88220721,0.00185955,0.0,0.0
3.32577848,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665691,-5.53803279,0.88220721,0.00185955,0.0,0.0
3.33042932,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665368,-5.53784811,0.88220721,0.00185955,0.0,0.0
3.33550835,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665368,-5.53784811,0.88222063,0.00187296,0.0,0.0
3.34083772,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665368,-5.53784811,0.88221037,0.0018627,0.0,0.0
3.34534955,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09665368,-5.53784811,0.88221037,0.0018627,0.0,0.0
3.3503561,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.0966511,-5.53770036,0.88222146,0.00187379,0.0,0.0
3.35523319,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.0966511,-5.53770036,0.88222146,0.00187379,0.0,0.0
3.36082935,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.0966511,-5.53770036,0.88221854,0.00187087,0.0,0.0
3.36533332,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.0966511,-5.53770036,0.88221854,0.00187087,0.0,0.0
3.37027693,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664904,-5.53758216,0.88223672,0.00188905,0.0,0.0
3.37528539,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664904,-5.53758216,0.88223672,0.00188905,0.0,0.0
3.38037157,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664904,-5.53758216,0.88220704,0.00185937,0.0,0.0
3.38546491,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664904,-5.53758216,0.88220704,0.00185937,0.0,0.0
3.39038134,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664739,-5.53748761,0.8821944,0.00184673,0.0,0.0
3.39531755,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664739,-5.53748761,0.8821944,0.00184673,0.0,0.0
3.40020132,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664739,-5.53748761,0.88220698,0.00185931,0.0,0.0
3.40523458,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664739,-5.53748761,0.88220698,0.00185931,0.0,0.0
3.41047812,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664607,-5.53741196,0.88222259,0.00187492,0.0,0.0
3.41543269,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664607,-5.53741196,0.88222259,0.00187492,0.0,0.0
3.4203608,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664607,-5.53741196,0.88222694,0.00187927,0.0,0.0
3.42533636,0.23999999,0.23999999,0.23247799,0.23027858,0.47999999,0.0,0.46275657,0.00219941,0.0,0.0,-0.09664607,-5.53741196,0.88222694,0.00187927,0.0,0.0
3.43017578,0.23999999,0.23999999,0.23247799,0.23027858,0.47999999,0.0,0.46275657,0.00219941,0.0,0.0,-0.09664501,-5.53735144,0.88221675,0.00186908,0.0,0.0
3.43518543,0.23999999,0.23999999,0.23247799,0.23027858,0.47999999,0.0,0.46275657,0.00219941,0.0,0.0,-0.09664501,-5.53735144,0.88221675,0.00186908,0.0,0.0
3.44072556,0.23999999,0.23999999,0.23247799,0.23027858,0.47999999,0.0,0.46275657,0.00219941,0.0,0.0,-0.09664501,-5.53735144,0.88220882,0.00186116,0.0,0.0
3.44531202,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664501,-5.53735144,0.88220882,0.00186116,0.0,0.0
3.45053601,0.23999999,0.23999999,0.23247799,0.23137829,0.47999999,0.0,0.46385628,0.00109971,0.0,0.0,-0.09664417,-5.53730303,0.88220978,0.00186211,0.0,0.0
