t[s],p1_cmd[MPa],p2_cmd[MPa],p1_meas[MPa],p2_meas[MPa],p_sum_cmd[MPa],p_diff_cmd[MPa],p_sum_meas[MPa],p_diff_meas[MPa],dp_sum_dt[MPa/s],dp_diff_dt[MPa/s],theta[rad],theta[deg],z[m],dz[m],dp1_cmd_dt[MPa/s],dp2_cmd_dt[MPa/s]
1.89897943,0.25999999,0.25999999,0.25117299,0.25117299,0.51999998,0.0,0.50234598,0.0,0.0,0.0,0.12595359,7.21660896,0.8831467,-0.00323033,0.0,0.0
1.90416169,0.25999999,0.25999999,0.25117299,0.25117299,0.51999998,0.0,0.50234598,0.0,0.0,0.0,0.12595359,7.21660896,0.8831467,-0.00323033,0.0,0.0
1.90902257,0.25999999,0.25999999,0.25117299,0.25117299,0.51999998,0.0,0.50234598,0.0,0.0,0.0,0.12595359,7.21660896,0.88328099,-0.00309604,0.0,0.0
1.91387677,0.25999999,0.25999999,0.25117299,0.25117299,0.51999998,0.0,0.50234598,0.0,0.0,0.0,0.12162501,6.96859966,0.88328099,-0.00309604,0.0,0.0
1.91914487,0.25999999,0.25999999,0.25117299,0.25117299,0.51999998,0.0,0.50234598,0.0,0.0,0.0,0.12162501,6.96859966,0.88330513,-0.0030719,0.0,0.0
1.92403436,0.25999999,0.25999999,0.25007328,0.25117299,0.51999998,0.0,0.50124627,-0.00109971,0.0,0.0,0.12162501,6.96859966,0.88330513,-0.0030719,0.0,0.0
1.92912889,0.25999999,0.25999999,0.25007328,0.25117299,0.51999998,0.0,0.50124627,-0.00109971,0.0,0.0,0.12162501,6.96859966,0.88301235,-0.00336468,0.0,0.0
1.93406987,0.25999999,0.25999999,0.25007328,0.25117299,0.51999998,0.0,0.50124627,-0.00109971,0.0,0.0,0.11816215,6.77019223,0.88301235,-0.00336468,0.0,0.0
1.93923068,0.25999999,0.25999999,0.25007328,0.25117299,0.51999998,0.0,0.50124627,-0.00109971,0.0,0.0,0.11816215,6.77019223,0.88306713,-0.00330991,0.0,0.0
1.94418097,0.25999999,0.25999999,0.25007328,0.25117299,0.51999998,0.0,0.50124627,-0.00109971,0.0,0.0,0.11816215,6.77019223,0.88306713,-0.00330991,0.0,0.0
