theta_true[deg],theta_hat[deg]
-0.48846677861047944,-0.48846677861047944
-2.4467498994241863,-2.4467498994241863
-4.228291216426603,-4.228291216426603
-5.8399219764512305,-5.8399219764512305
-7.288473426331563,-7.288473426331563
-8.5807768129011,-8.5807768129011
-9.723663382993339,-9.723663382993339
-10.723964383441775,-10.723964383441775
-11.588511061079855,-11.578680690024147
-12.330664444144155,-12.299585471831115
-12.968184466630312,-12.904038841183556
-13.447669131804338,-13.410403876122341
-13.783830528716694,-13.835874627124873
-13.992658744445222,-14.195552722874545
-14.227299475526106,-14.502173419605494
-14.416070054740763,-14.766044065404678
-14.568852968686219,-14.995474270536697
-14.689440151727709,-15.197143710684813
-14.784611421546607,-15.37508081147363
-14.85440020510051,-15.532961818337675
-14.901852143667364,-15.673971517588974
-14.92961014847029,-15.800799161402132
-14.96882518219903,-15.915686153162746
-15.001559793574543,-16.020488501210743
-15.028422407897342,-16.11673854638404
-15.04966239410031,-16.20570020661209
-15.065719267327252,-16.288416242964484
-15.078753494462763,-16.365747802082222
-15.08591646160312,-16.43840711594832
-15.088212400046501,-16.50422063578291
-15.090840642251816,-16.56004627528443
-15.093085801909336,-16.628122889458247
-15.098644898715841,-16.727486083564482
-15.115813427201708,-16.86737608459527
-15.144217424673506,-17.019457208820395
-15.163629513881265,-17.147098645642085
-15.19278815596332,-17.221065544169914
-15.259543391361658,-17.22172213235093
-15.305033502000402,-17.13659951837169
-15.315282244874536,-16.957648618447173
-15.272807026140896,-16.67923905360937
-15.207026065162964,-16.293459580251255
-15.035953092474328,-15.797544633328002
-14.754719460228408,-15.189627539517634
-14.363763645585747,-14.4692889481694
-13.870734489667612,-13.640887712410905
-13.288638586253667,-12.75754310178845
-12.632882230607008,-11.87959662761605
-11.92517311579224,-11.05255352261933
-11.217407653141937,-10.302240487725506
-10.477259445757532,-9.618393594090254
-9.729543304864023,-8.990919712429246
-9.025339343510543,-8.412214506790278
-8.379016007919732,-7.876036620594264
-7.751457933557719,-7.376948105705238
-7.180217618495451,-6.910033697028802
-6.673716813490111,-6.470762529958055
-6.250382595367685,-6.054924501385972
-5.829919220300288,-5.662601333246433
-5.45691538543785,-5.292094445115567
-5.134467620548363,-4.941826655630309
-4.865416045150684,-4.610332914188633
-4.643225508425337,-4.296253106430471
-4.469416836551262,-3.998325921241304
-4.342094523307188,-3.7153832419692514
-4.261766647514912,-3.4463447928282727
-4.173544109733561,-3.1902129209161694
-4.103092017861525,-2.946067475118421
-4.061609327884616,-2.7130607844790924
-4.113097395492209,-2.5048656343115874
-4.149545664675093,-2.317301526305528
-4.088752883936753,-2.1447916272457133
-3.990696623168877,-1.972554448972265
-3.8622360907578095,-1.7828747826696703
-3.620492356360792,-1.5589634210176364
-3.276533164352846,-1.2874134157578903
-2.8410739724812437,-0.959647787168717
-2.340274751351261,-0.572585029132322
-1.772210821303478,-0.12871323681265226
-1.168852113505441,0.3642635256722885
-0.5523061281305256,0.894090970661305
0.032676126789673375,1.4448793559493507
0.5664597221798778,1.9971461781651942
1.0151975925948113,2.5322725935806973
1.347142732402765,3.031784713118129
1.5538995990260376,3.4787208619088443
1.7579166395708765,3.8752035167786074
1.9367169246445577,4.219207873770122
2.015326941366941,4.519656366089241
2.052703770569247,4.783132228748314
2.108592571598591,5.014723232964407
2.1490324404605428,5.218509663920223
2.1761335653834584,5.397856346200729
2.1914045185655286,5.555594944126534
2.214578009030829,5.694143474376029
2.234057616303356,5.815588889200113
2.2505348068617765,5.921747237849804
2.2553270806874135,6.014209770248108
2.2627304861290316,6.094379994959169
2.2679951293596594,6.165666291408895
2.2714042350489607,6.2290412889870685
2.2720174300977005,6.285432075679828
2.2735280855192435,6.3356850071629855
2.273963976305606,6.380555635965115
2.2749356146249013,6.42071033724337
2.276546198029261,6.456732947769431
2.282060763091393,6.489133150674568
2.2900219766903045,6.518355059012058
2.3004468962509215,6.544785309590586
2.312735183131464,6.568760400369249
2.3275895002568303,6.590573206753297
2.3441497530085202,6.615166802146255
2.3582612076211196,6.619221699489684
2.3388502488436598,6.58246530953472
2.3157687702009344,6.514239053446851
2.337489272995499,6.4509903455195845
2.356546865853949,6.433349014993616
2.3248825266196436,6.495115792704942
2.3562148637826423,6.659738937250187
2.4705689624283447,6.940621529863351
2.689539980069941,7.342773628196667
2.962374586094944,7.864553591644091
3.4178772222293525,8.499056019780856
4.042713297590123,9.23503065746602
4.886074801524902,10.059218166822127
5.7573850072387645,10.949805171451537
6.754568525982183,11.880084185112477
7.850292491237152,12.815934548264778
9.007250269680583,13.697906694728296
10.14943676912484,14.49322023270009
11.333977445534323,15.2005602186459
12.512221650812126,15.835540340920918
13.581707719099777,16.41062024538799
14.538056201225013,16.935796230592036
15.463410280455564,17.419107036392422
16.293239710154474,17.867009355948312
17.01650962962466,18.28466067527019
17.613684814036016,18.676135957929738
18.210652313227843,19.04459714855429
18.731090830440344,19.3924292249895
19.177836755476957,19.72135284100203
19.444848329562312,20.031172566853783
19.716695460791293,20.324221112711953
19.935537950268035,20.602370901012605
20.103780133565635,20.867162211033488
20.219237297733226,21.119885937462882
20.340600821461013,21.36163900221733
20.4371891550776,21.593363062992708
20.51211355490134,21.815872761931374
20.569169140538,22.029877185880892
20.61291580798181,22.235996723261692
20.64346408045228,22.434776648998437
20.654752753847003,22.62753244582497
20.60410378988928,22.825814902199397
20.57934074482003,23.03664960688273
20.589200385425762,23.259039910085658
20.651923675804404,23.484228118150963
20.78657179355611,23.6902272342448
20.967143445598765,23.86973999590092
21.191919267317992,24.0260843221302
21.44260111751542,24.165807213887014
21.70365749362277,24.29275876150518
21.950091466981462,24.405709231993534
22.167971240201943,24.498556337076728
22.3447085699398,24.561910203352415
22.47289826526008,24.583396504182705
22.539739132722232,24.559803715253697
22.53721664898499,24.49160429376582
22.45912707057964,24.3892094368615
22.314099037882254,24.281681054815486
22.19159392934854,24.180338214783
22.081873177953092,24.08747659825533
22.00104311652549,23.99498137014284
21.953234818478833,23.88598618578308
21.916119828475765,23.768638927884663
21.902263911606276,23.64664549968877
21.898452293555287,23.521843396066544
21.89981031607372,23.39527876227683
21.89647141793426,23.267660748251316
21.894444953103303,23.139559859196346
21.892846400168487,23.01149946937179
21.89180012704601,22.88400104765004
21.888538045738727,22.760034007722005
21.886227269620598,22.638176263820668
21.88528030004649,22.51783863049556
21.886723862778478,22.398771328907486
21.889417690164866,22.280864367695784
21.893752588345173,22.16406608913664
21.899576213694793,22.048349646427113
21.906506559986052,21.93369905442657
21.91432864473089,21.820103291387085
21.923947491294385,21.707553744037313
21.936188102318248,21.5960430600621
21.95619051098012,21.50158831943142
21.965170102587905,21.405538999465847
21.9723790290703,21.29332691970423
21.974574280781788,21.156150830118634
21.979174053934234,20.999276946581826
21.962987194933397,20.871597592868532
21.923327866234672,20.788049992080914
21.857433098514804,20.743946543719524
21.773328210302324,20.73008809875162
21.656764518063607,20.740958613004942
21.50424780014743,20.776223412017675
21.33333347779947,20.83920033942465
21.151289323269197,20.93421719510784
20.959117802936568,21.063740538707876
20.7677116589217,21.22478363900733
20.58648058776568,21.403851364813793
20.420991445246397,21.579751167800513
20.26792221645126,21.722515403813116
20.14842765903112,21.82396217030501
20.060910331991927,21.893537934820746
20.00370936148765,21.956370082118926
19.95608914695933,22.037741371736725
19.928828482629847,22.126229518694913
19.91846978524337,22.21643242338444
19.92283173615371,22.305869905451416
19.927277694930687,22.393575166392413
19.93748464525536,22.479427575901106
19.962649934160872,22.563829157542006
19.9919574982922,22.64754592227274
20.018803341530493,22.731631089598086
20.047016964982824,22.81666568900305
20.074866788023897,22.901678132789826
20.10033309394356,22.986122600706736
20.124567105591414,23.069666456651035
20.145769194401062,23.15209081137597
20.164569401853637,23.233242801068414
20.17815268991073,23.313011711901495
20.188553973418077,23.39131624544622
20.19581892250251,23.46809711217226
20.199598258888447,23.543312278155796
20.2058878425061,23.616933619557827
20.215024611044157,23.697483948939194
20.226980602058184,23.830033487828675
20.257964922479374,24.00664946965236
20.40469454994664,24.165717439378977
20.416377249315392,24.24224152888528
20.413852552450024,24.18054901037167
20.34367582797059,23.93828016833393
20.225345573602205,23.487858779017355
19.873643192108236,22.81663857169357
19.29004433343603,21.926162174456902
18.490840072694503,20.830912802771138
17.536619338995934,19.556900910671153
16.405469926732646,18.140309730029124
15.126232320769548,16.625353547943607
13.798423246100997,15.064056898531096
12.498290800769395,13.517043962076102
11.25408577607401,12.05046016222449
10.132041441946084,10.738414543231247
9.189209205309332,9.57026566221127
8.459707266614494,8.519405648156049
7.758450052971856,7.569990598744706
7.2910826335688,6.710851346613888
6.952119371400352,5.93308660961417
6.719112770999617,5.229028591567238
6.433051849435427,4.591780994708371
6.188461886598317,4.015011000745687
5.984450486388999,3.4928577406875663
5.821150443585764,3.0198947551520963
5.637140524208846,2.5911171292584556
5.471186180641505,2.201939376030688
5.363691327702125,1.8477764905874352
5.292052498417102,1.5252599355078922
5.225719914481455,1.2313137420113152
5.181082160609321,0.9631373704911956
5.151026479256599,0.7181877414942168
5.134079315957461,0.49416094900385693
5.110274740099966,0.28897406484350835
5.089685585027266,0.10074735211578204
5.082050132403918,-0.07221287373804916
5.079801105874488,-0.23143056565225595
5.072598609822926,-0.37827533380674766
5.068012265486278,-0.5139768356941311
5.061105698515209,-0.6442690922669145
5.042783420399523,-0.7692391176261499
5.025495547065978,-0.8868702380143965
5.016886259416387,-0.9964453708773124
5.020265018687864,-1.1032038320418707
5.040850513107168,-1.1982256910588969
5.083723125395891,-1.258249701083028
5.155533455395071,-1.2573649729140883
5.2567571725915165,-1.1747699134032237
5.381569538086361,-0.9983638769635148
5.541756385722293,-0.7254810508955966
5.730276337770391,-0.36245913944208896
5.938803440787661,0.07711068507224704
6.158881143789925,0.5705545643889254
6.382028734015575,1.0906054491601274
6.594259308985517,1.607952344354552
6.784122987736066,2.095537468648753
6.943739558315372,2.5329209242538147
7.082763708982343,2.9057813014398337
7.194319522511568,3.205039272744897
7.278324761351593,3.4254885537220825
7.336392042216597,3.5828039930084623
7.375059416623632,3.6965381958115007
7.3959118480303765,3.7803337188444956
7.4024661991290515,3.8436794560831333
7.395450044939405,3.8931849764840707
7.392648605211343,3.9334798239704627
7.386965691365621,3.9678356392467773
7.38023574157824,3.9985909218692135
7.374034977229195,4.025144700307725
7.371417942562668,4.048649687030735
7.368182304559731,4.069917154054212
7.3669986631318825,4.089521578017229
7.366368006544482,4.1078720131340445
7.366503985794868,4.125261188013783
7.3674250057695225,4.141899553658237
7.369172212109612,4.15793907163324
7.371763889593281,4.173489944974238
7.3764128976115355,4.1886324541760755
7.38115521096303,4.203425372310394
7.390970582049434,4.227974351586528
7.40340347001463,4.261501144459805
7.421211051544702,4.294021185150307
7.43965528026083,4.3334215668649705
7.453972291640586,4.390474938423258
7.507486331837732,4.460657789624604
7.501579851056249,4.509506389211268
7.416168349339223,4.485220141511709
7.231538162306071,4.344139331686778
7.022461636794446,4.0593219722257725
6.532376461397124,3.6181127739815153
5.9105095383509205,3.017138259521833
5.14567455049335,2.2585149237045887
4.319746276924105,1.3462778954025345
3.289528762496813,0.2870644279232026
2.07868481480413,-0.9109328037715227
0.7262408228778826,-2.235822015616851
-0.669354565000908,-3.655169794508701
-2.1644782956585424,-5.114843083862896
-3.7500276060441466,-6.547412909745152
-5.285352526874745,-7.900042398682757
-6.6937862898020475,-9.144750989647637
-8.09848434060007,-10.279381332733411
-9.422993788766524,-11.313254638769639
-10.638485028092335,-12.255353451463204
-11.700154051754858,-13.114265793783073
-12.79131319899622,-13.89805663321286
-13.67532552664559,-14.614126182419774
-14.407794159225798,-15.269087967112643
-14.975813437848792,-15.86868256483405
-15.553298301776504,-16.4183846088228
-16.053828039882905,-16.92376398791242
-16.473892789548874,-17.389783601053235
-16.809368461931264,-17.82084134549353
-17.176870768259317,-18.220816070649047
-17.516294024710017,-18.593115730677194
-17.746586003569362,-18.94072579808238
-17.919891828180244,-19.266256266033846
-18.10201138458579,-19.57198600135092
-18.254486665651847,-19.859903659460937
-18.378077148208178,-20.131744759392344
-18.476887759500688,-20.400675968331083
-18.599372798157003,-20.67682672789485
-18.744551542154824,-20.977428470566398
-18.891626534944443,-21.30615266399824
-19.03630420225025,-21.636848792981635
-19.147455314939066,-21.892919818054047
-19.145053507892847,-21.9725401562688
-18.97051191726398,-21.784984025909367
-18.675985863268448,-21.265974077256473
-18.046740647368118,-20.382976622649007
-17.08851106692842,-19.133966686154217
-15.833323449611198,-17.543516346305395
-14.372511171874857,-15.65909556205208
-12.6443997593798,-13.550692406158788
-10.79813753394967,-11.298987374839957
-8.912271852459776,-9.002859008261193
-7.091319725427599,-6.770488540711012
-5.384280201566892,-4.7328482313610465
-3.8717430819016654,-2.973734613647423
-2.5964516791935015,-1.5111257952921293
-1.568558839136077,-0.31385491052222264
-0.7572960783604801,0.6692060965567302
-0.13643998609954608,1.482522335700074
0.3029001793673969,2.159013654364003
0.5806392451067575,2.7244107733307428
0.9018188068288009,3.199336592826839
1.1521932482862423,3.6005029515152183
1.3386289876205208,3.94151326268542
1.4650891186155317,4.233459912081696
1.62465983311832,4.485394500887907
1.70365461842204,4.702051081058456
1.7540162196294529,4.889669735064486
1.7790752481841385,5.053293295266655
1.8203417742109187,5.197022517613418
1.853884798418541,5.324206116792424
1.8812863921342775,5.4375867128456425
1.9030000702629537,5.539415363226595
1.9325258014994793,5.6315427679182894
1.9617582150053856,5.71549261261407
1.9832738696109706,5.792520934719817
2.0066040591451273,5.86366438857675
2.0444202051506175,5.936332760110644
2.1072811209518174,6.061469654114419
2.2046589540476837,6.247711160055224
2.4523894876303673,6.45827817331626
2.581725667104811,6.6280533733169635
2.526292506975324,6.6652107327979015
2.2325064663083602,6.469736051460882
1.6589210834547699,5.9656822025341745
0.7878986165303009,5.111647953580991
-0.3844888405983832,3.8978371526242537
-1.8471613876444144,2.338600427782098
-3.4795544497870745,0.46638416954008827
-5.413936976611639,-1.671785326874697
-7.578272709136724,-4.0153364810345975
-9.88391659902642,-6.494109338776645
-12.226326693224783,-9.025013673768392
-14.498910319142365,-11.509762256602361
-16.604754594605037,-13.829690938761797
-18.472714255879424,-15.919675017325432
-20.036462277426704,-17.74965367049375
-21.57662951432782,-19.31663503513758
-22.96926893802688,-20.6475206053149
-24.207317823302485,-21.788746981588492
-25.26951485681927,-22.77448703391012
-26.19277692138921,-23.631309765577182
-26.950407770081753,-24.380414290014095
-27.54831511049142,-25.038874146777374
-27.98514329822712,-25.620445650476547
-28.458680417485567,-26.13616276166116
-28.86996424301434,-26.594808338593417
-29.22485914378475,-27.0016134724694
-29.52016064682478,-27.365644888103933
-29.773042248184456,-27.693736825090244
-29.995358122440727,-27.991289239350525
-30.177990938122985,-28.262691215647582
-30.313636124913042,-28.51156784300031
-30.4658045809796,-28.740940564907877
-30.605268749495796,-28.953341610867145
-30.733730774165252,-29.15090123190669
-30.84725674895887,-29.335416900262434
-30.98186762893593,-29.508409418623277
-31.10565017700641,-29.666277179981197
-31.207891552777312,-29.853818601512113
-31.415165782357846,-30.09497075924491
-31.651677610085823,-30.36739817400784
-31.852666844023304,-30.576411222851092
-31.94008080594734,-30.633343003320086
-31.96322930270871,-30.46821377603024
-31.618211397021817,-30.03107563395247
-30.88015492120482,-29.29221547150788
-29.745900163774884,-28.242124542861802
-28.25198248797821,-26.891305890400314
-26.464414705557818,-25.26988209918443
-24.44791963522255,-23.42698741234127
-22.287348691081593,-21.429257868736162
-20.099878322387873,-19.364283442595138
-17.95639966502785,-17.331106741845595
-15.96702116963541,-15.440397857787687
-14.231819054784005,-13.799989402613605
-12.886121928392575,-12.413046302860032
-11.825940220603027,-11.228241014232545
-11.067310256432776,-10.200814502487574
-10.567483026681334,-9.303723358546154
-10.291580028808166,-8.518580549163293
-9.958522694806058,-7.831041540012188
-9.697093158662906,-7.2291175409019335
-9.491980183944818,-6.702475205736632
-9.332847217149844,-6.242102141291283
-9.209776248382532,-5.840116782698439
-9.119521939605484,-5.489638567156183
-9.057931326177235,-5.184685371988016
-9.022262138600725,-4.917514758316249
-8.971157203308344,-4.682951405778749
-8.92948198186097,-4.476519933577078
-8.895098666795603,-4.294358782902276
-8.867777140670688,-4.133141686409357
-8.847560690102842,-3.9900071614158152
-8.83384439203079,-3.8624959228165325
-8.824771036762774,-3.7484957994418098
-8.821813270284522,-3.646193570706612
-8.816318691166014,-3.554033066806224
-8.81114564219148,-3.4706788611446315
-8.807028813743683,-3.3949849051566376
-8.813735756654271,-3.320924308922611
-8.82653477369448,-3.2666507154421303
-8.842230268300693,-3.237328085167743
-8.836455177943932,-3.220954210647116
-8.851538630254334,-3.200549228225311
-8.848011320421612,-3.1600790393712237
-8.818019850624136,-3.0868300715265917
-8.750619792416359,-2.9719533735563433
-8.664897380904415,-2.810215802762109
-8.505958207476924,-2.599526595441784
-8.275030360673778,-2.3405080051477682
-7.977013555633116,-2.036212343831224
-7.619432114732959,-1.6906205804356165
-7.212788349225607,-1.3126695905641816
-6.771845442845731,-0.9136727211764483
-6.310126122338124,-0.5075656625048032
-5.857220100517593,-0.11125955177397615
-5.3974011748280954,0.2453277042818629
-4.942741426739951,0.5617781805018047
-4.510153997671782,0.8467098083604371
-4.145081174822071,1.1058771360570574
-3.799928396035291,1.3434171664053418
-3.5035750414239604,1.5625122904803224
-3.256595357165158,1.765746528720898
-3.0616339363098266,1.955299590526068
-2.8709424916220034,2.133054929476557
-2.712449057476729,2.300662091007894
-2.5857154773969144,2.4595747309604685
-2.488905632330085,2.6110757035079906
-2.4196072787746874,2.753911569054888
-2.372980894886755,2.888845162373554
-2.342434544544736,3.0165229562454487
-2.326694578307338,3.1375072535138275
-2.3025763613105643,3.2522956716127243
-2.2821427310769784,3.361333565144601
-2.266503656855815,3.4650224508428837
-2.253567089120752,3.563726104778705
-2.2389610318433943,3.6577752481188344
-2.231126157820552,3.747471330173805
-2.2252914297648387,3.8330896966004846
-2.2533860316515737,3.9148823104694404
-2.328222425331674,3.980348374085597
-2.457156462110095,3.985629427262897
-2.6076973695685775,3.9210587466995186
-2.903736959678098,3.834393379301113
-2.8939680858822405,3.8038162695016453
-2.499948965703794,3.9072187594166903
-1.5341843571651692,4.206184195750974
-0.36819265921815947,4.739005813046335
1.2357356375339246,5.519547972411167
3.233510231079198,6.539544593123843
5.557904850372914,7.772518730228095
8.073189189798551,9.17824119336196
10.79179761966147,10.705813073494884
13.58104626176436,12.297783339370916
16.29672814008326,13.899221540182555
18.786683021300007,15.454112574932893
20.948438483598824,16.901713639218517
22.711886326182167,18.19115469732919
24.06573526610026,19.312147373986328
25.02948118848712,20.285210835399383
26.019391619122544,21.142227582359826
26.8660418386825,21.90355502213339
27.58595335919849,22.583618044769413
27.93383160266599,23.193388285937207
28.304741847564113,23.741545914763428
28.57010201871843,24.235074739676758
28.743324838292953,24.679608871329076
28.840971866212744,25.079663287262527
28.978228257619485,25.438802091782744
29.087884841448187,25.761018899724725
29.174450243389195,26.05297591070755
29.241849236590706,26.319268447338775
29.293339133678902,26.56344920976969
29.329865938467407,26.788424859142626
29.35264161236717,26.99663270042854
29.364435313667094,27.19013769973296
29.382782551059627,27.370697569752313
29.39737814385163,27.539812412137483
29.40883656501954,27.69876499927975
29.418739951128565,27.84865430310217
29.428822475627893,27.99042367429408
29.434040835187382,28.10717318541626
29.443258857595552,28.23715587088035
29.564514195122634,28.414690643491817
29.739720129787003,28.64284215513345
29.94428817303021,28.88688668779687
30.1163626301398,29.064191958573048
30.492939270884754,29.038694216691088
30.337242337427078,28.66674595566819
29.519112185754526,27.78195309467946
27.668993004095807,26.217091955715173
25.536152768910966,23.86841484888646
22.62241639217347,20.705439158434142
18.982044958355832,16.761096285563234
14.707858320566302,12.120747138383457
10.061587768327398,6.9309632839734485
4.971441598392102,1.3714314805169292
-0.32069634703318983,-4.335525717772401
-5.539307621214283,-9.843707052530991
-10.406781122974948,-14.840644801361407
-14.82575862275243,-19.171973163876384
-18.627793707370326,-22.834371708810785
-21.74364787196923,-25.87142965458785
-24.13675993380775,-28.38254270285839
-26.50337653559052,-30.43000574709886
-28.54952434743737,-32.085753062006695
-30.29826030381591,-33.41759643619401
-31.253459542338504,-34.48659264856534
-32.221434677152516,-35.34369461873904
-32.95383595834522,-36.031192993546036
-33.48382872337982,-36.583873451738796
-33.831121676177624,-37.03577744084761
-34.25959267409527,-37.398944051539104
-34.620271478434304,-37.690444496383236
-34.92268215047313,-37.92388525230791
-35.1706935097523,-38.11026306238938
-35.38278709330818,-38.25847556659875
-35.555991044529186,-38.375732806477856
-35.69381110157748,-38.46788499266705
-35.79420790042916,-38.539684288141245
-35.912217194147054,-38.59499445581906
-36.01766649705377,-38.63695922643393
-36.11292125867178,-38.668137874435445
-36.20428848142062,-38.664728535043935
-36.30471053979308,-38.67024575461622
-36.374388753453836,-38.72586263432089
-36.48199259857421,-38.833310179145705
-36.8056350286084,-38.96290200809301
-37.0827255365792,-39.06466231113525
-37.21523387891181,-38.99901710025417
-37.105545978653204,-38.67260348568166
-36.92492346966061,-37.972969720762045
-36.14798947363252,-36.81880506708722
-34.72086561628369,-35.1622395751696
-32.38254410275881,-32.971776372514526
-29.818224511615256,-30.243015193194925
-26.63253963100845,-27.02241753103561
-22.898859004355018,-23.36449517373705
-18.731769531313446,-19.370606579843482
-14.421374736812304,-15.17041077951049
-9.849214394499757,-10.872821959465437
-5.206832026223246,-6.590891279583252
-0.7701709705951307,-2.433293386564692
3.3023730927547215,1.5075203538049702
7.171162207162366,5.170310527368029
10.65627637866423,8.49288937096508
13.701577729811946,11.424762858032874
16.23049177171007,13.94365601409612
18.748988888872216,16.088532561250396
20.98920100719652,17.91149351410196
22.951302420019275,19.457028144986037
24.190874486810365,20.764915838777604
25.389739247554214,21.87036654777472
26.313992132210153,22.80671163276623
26.978537203542356,23.603986491928456
27.403097568402508,24.28649082167519
27.88714797598144,24.873972867938367
28.274376119724877,25.382523123261283
28.576996461448807,25.82528533001366
28.80319367608192,26.213027804372334
28.966339332739857,26.554600969527176
29.080004338885296,26.857302287727155
29.150720327474332,27.127167050696674
29.18446154863332,27.36920058495068
29.243111618240928,27.587564450545845
29.290127997430094,27.771426920363385
29.3281041063628,27.9408632109027
29.356544617119205,28.1234365313185
29.387168094296797,28.335780790427336
29.41947969553015,28.557278880569932
29.45811909600228,28.763372479672302
29.51191301466039,28.93302650512616
29.561236341964353,29.0501467369774
29.595559136047005,29.1036567383808
29.611174517888813,29.087351531112716
29.609031328302382,28.999753232852605
29.58477884235336,28.843958233591746
29.536069168810002,28.62493143358679
29.466401589100133,28.359040014376127
29.38288036608691,28.06090774016475
29.287957866211823,27.74700306599981
29.185909968254748,27.435799338138317
29.083272353691743,27.167118870034525
28.98780450905956,26.95379115605219
28.91237338686185,26.789232498088296
28.855842500633052,26.64636630832717
28.823610708044445,26.5166951193713
28.81120646682333,26.396416060874625
28.79414257002915,26.28328862954785
28.781795521319548,26.175808998530158
28.77352104074073,26.072944291665827
28.76885853297087,25.974016356308596
28.76178323268928,25.87863255006233
28.7558357440696,25.786636043650933
28.750804949456573,25.700940443170193
28.74934177858041,25.619096301188492
28.74708138036011,25.540172167255022
28.74547398626521,25.463701429483862
28.744433122504113,25.389387114109795
28.743896969019193,25.31701244260863
28.74305689549738,25.246409130459014
28.742388113786593,25.17744299383945
28.741862288154827,25.110005526521363
28.74260201163778,25.044008082730087
28.742623432341226,24.979377534409522
28.75093948052685,24.916052928046938
28.791497044460844,24.837065359637435
29.008797298544756,24.781427132515148
29.210364268304712,24.78520895136831
29.337317782034894,24.85055994974034
29.31115212450341,24.9453538241068
29.25283179812331,24.931800298206856
28.697757524324697,24.68193996114354
27.413028405277636,24.102591628421617
25.737769333142424,23.13166104941742
23.819477687379873,21.735560635239867
21.367204596456634,19.909047583414004
18.452415818879807,17.675954125617963
15.176684497216261,15.095934164977784
11.735647129656266,12.24061847210331
8.16115659229775,9.214021877946756
4.647324378215357,6.143103251214631
1.352250053655966,3.17274220296266
-1.4780394221870217,0.4506356309711335
-4.021992660799499,-1.9345011215012373
-6.154986640924721,-3.9630624342313556
-7.869306266853618,-5.669949761231997
-9.169361944452397,-7.122891310358356
-10.475616665971145,-8.36611882647383
-11.590569002374114,-9.430930300796195
-12.19154014036245,-10.343220793871208
-12.518730762786333,-11.125259706543545
-12.898433998609859,-11.796187838254745
-13.17045164678792,-12.37224626836555
