t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
9.905243873596191406e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.335028191584863133e-02,4.775619375003715916e+00,8.148005604743957520e-01,-2.836585044860839844e-04
9.910271167755126953e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.335028191584863133e-02,4.775619375003715916e+00,8.148005604743957520e-01,-2.836585044860839844e-04
9.915272235870361328e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.335028191584863133e-02,4.775619375003715916e+00,8.144867420196533203e-01,-5.974769592285156250e-04
9.920478343963623047e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.335028191584863133e-02,4.775619375003715916e+00,8.144867420196533203e-01,-5.974769592285156250e-04
9.925410985946655273e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.723556809034650750e-02,4.998229875002973444e+00,8.142059445381164551e-01,-8.782744407653808594e-04
9.930381059646606445e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.723556809034650750e-02,4.998229875002973444e+00,8.142059445381164551e-01,-8.782744407653808594e-04
9.935502529144287109e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.723556809034650750e-02,4.998229875002973444e+00,8.139237165451049805e-01,-1.160502433776855469e-03
9.940361499786376953e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,8.723556809034650750e-02,4.998229875002973444e+00,8.139237165451049805e-01,-1.160502433776855469e-03
9.945282220840454102e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.187777781783043607e-02,5.264208900002378400e+00,8.136177062988281250e-01,-1.466512680053710938e-03
9.950466871261596680e+00,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,9.187777781783043607e-02,5.264208900002378400e+00,8.136177062988281250e-01,-1.466512680053710938e-03
