t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.890922904014587402e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.174738716275738615e-01,6.730757047321609399e+00,8.123178482055664062e-01,-2.839386463165283203e-03
1.891442155838012695e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.174738716275738615e-01,6.730757047321609399e+00,8.123178482055664062e-01,-2.839386463165283203e-03
1.891922926902770996e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.174738716275738615e-01,6.730757047321609399e+00,8.123194575309753418e-01,-2.837777137756347656e-03
1.892429828643798828e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176024014354979663e-01,6.738121262857287519e+00,8.123194575309753418e-01,-2.837777137756347656e-03
1.892923760414123535e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176024014354979663e-01,6.738121262857287519e+00,8.123190999031066895e-01,-2.838134765625000000e-03
1.893440079689025879e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176024014354979663e-01,6.738121262857287519e+00,8.123190999031066895e-01,-2.838134765625000000e-03
1.893935179710388184e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.176024014354979663e-01,6.738121262857287519e+00,8.123596310615539551e-01,-2.797603607177734375e-03
1.894452333450317383e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.173984291242601286e-01,6.726434510285830726e+00,8.123596310615539551e-01,-2.797603607177734375e-03
1.894939446449279785e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.173984291242601286e-01,6.726434510285830726e+00,8.123731017112731934e-01,-2.784132957458496094e-03
1.895437622070312500e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.173984291242601286e-01,6.726434510285830726e+00,8.123731017112731934e-01,-2.784132957458496094e-03
1.895979809761047363e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.175420474328469911e-01,6.734663233228665113e+00,8.123669624328613281e-01,-2.790272235870361328e-03
1.896436071395874023e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.175420474328469911e-01,6.734663233228665113e+00,8.123669624328613281e-01,-2.790272235870361328e-03
1.896939778327941895e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.175420474328469911e-01,6.734663233228665113e+00,8.123325705528259277e-01,-2.824664115905761719e-03
